team_abbrev,home_away,lineup_id,lineup,player_1,player_2,player_3,player_4,player_5,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,duration_minutes,start_home_score,start_away_score,end_home_score,end_away_score,points_for,points_against,plus_minus,reason_closed
TOR,home,Brittney Sykes || Julie Allemand || Marina Mabrey || Nyara Sabally || Temi Fagbenle,Brittney Sykes | Julie Allemand | Marina Mabrey | Nyara Sabally | Temi Fagbenle,Brittney Sykes,Julie Allemand,Marina Mabrey,Nyara Sabally,Temi Fagbenle,0.0,200.0,200.0,3.3333333333333335,0.0,0.0,6.0,6.0,6.0,6.0,0.0,Substitution
WSH,away,Cassandre Prosper || Georgia Amoore || Kiki Iriafen || Shakira Austin || Sonia Citron,Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Cassandre Prosper,Georgia Amoore,Kiki Iriafen,Shakira Austin,Sonia Citron,0.0,200.0,200.0,3.3333333333333335,0.0,0.0,6.0,6.0,6.0,6.0,0.0,Substitution
TOR,home,Brittney Sykes || Julie Allemand || Maria Conde || Marina Mabrey || Temi Fagbenle,Brittney Sykes | Julie Allemand | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes,Julie Allemand,Maria Conde,Marina Mabrey,Temi Fagbenle,200.0,278.0,78.0,1.3,6.0,6.0,6.0,13.0,0.0,7.0,-7.0,Substitution
WSH,away,Cassandre Prosper || Georgia Amoore || Kiki Iriafen || Shakira Austin || Sonia Citron,Cassandre Prosper | Georgia Amoore | Kiki Iriafen | Shakira Austin | Sonia Citron,Cassandre Prosper,Georgia Amoore,Kiki Iriafen,Shakira Austin,Sonia Citron,200.0,278.0,78.0,1.3,6.0,6.0,6.0,13.0,7.0,0.0,7.0,Substitution
TOR,home,Brittney Sykes || Julie Allemand || Kia Nurse || Maria Conde || Teonni Key,Brittney Sykes | Julie Allemand | Kia Nurse | Maria Conde | Teonni Key,Brittney Sykes,Julie Allemand,Kia Nurse,Maria Conde,Teonni Key,278.0,371.0,93.0,1.55,6.0,13.0,6.0,13.0,0.0,0.0,0.0,Substitution
WSH,away,Alex Wilson || Angela Dugalic || Lauren Betts || Rori Harmon || Sonia Citron,Alex Wilson | Angela Dugalic | Lauren Betts | Rori Harmon | Sonia Citron,Alex Wilson,Angela Dugalic,Lauren Betts,Rori Harmon,Sonia Citron,278.0,371.0,93.0,1.55,6.0,13.0,6.0,13.0,0.0,0.0,0.0,Substitution
TOR,home,Julie Allemand || Kia Nurse || Kiki Rice || Maria Conde || Teonni Key,Julie Allemand | Kia Nurse | Kiki Rice | Maria Conde | Teonni Key,Julie Allemand,Kia Nurse,Kiki Rice,Maria Conde,Teonni Key,371.0,409.0,38.0,0.6333333333333333,6.0,13.0,6.0,13.0,0.0,0.0,0.0,Substitution
WSH,away,Alex Wilson || Angela Dugalic || Lauren Betts || Lucy Olsen || Rori Harmon,Alex Wilson | Angela Dugalic | Lauren Betts | Lucy Olsen | Rori Harmon,Alex Wilson,Angela Dugalic,Lauren Betts,Lucy Olsen,Rori Harmon,371.0,409.0,38.0,0.6333333333333333,6.0,13.0,6.0,13.0,0.0,0.0,0.0,Substitution
TOR,home,Julie Allemand || Kia Nurse || Kiki Rice || Maria Conde || Nyara Sabally,Julie Allemand | Kia Nurse | Kiki Rice | Maria Conde | Nyara Sabally,Julie Allemand,Kia Nurse,Kiki Rice,Maria Conde,Nyara Sabally,409.0,555.6,146.60000000000002,2.443333333333334,6.0,13.0,13.0,15.0,7.0,2.0,5.0,Substitution
WSH,away,Alex Wilson || Angela Dugalic || Lauren Betts || Lucy Olsen || Rori Harmon,Alex Wilson | Angela Dugalic | Lauren Betts | Lucy Olsen | Rori Harmon,Alex Wilson,Angela Dugalic,Lauren Betts,Lucy Olsen,Rori Harmon,409.0,555.6,146.60000000000002,2.443333333333334,6.0,13.0,13.0,15.0,2.0,7.0,-5.0,Substitution
TOR,home,Kiki Rice || Laura Juskaite || Lexi Held || Marina Mabrey || Nyara Sabally,Kiki Rice | Laura Juskaite | Lexi Held | Marina Mabrey | Nyara Sabally,Kiki Rice,Laura Juskaite,Lexi Held,Marina Mabrey,Nyara Sabally,555.6,600.0,44.39999999999998,0.7399999999999997,13.0,15.0,13.0,17.0,0.0,2.0,-2.0,Substitution
