team_abbrev,home_away,player_name,lineup,lineup_id,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,duration_minutes,start_elapsed_minutes,end_elapsed_minutes,start_game_clock_label,end_game_clock_label,start_home_score,start_away_score,end_home_score,end_away_score,points_for,points_against,plus_minus,reason_closed,started_game
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Marina Mabrey | Nyara Sabally | Temi Fagbenle,Brittney Sykes || Julie Allemand || Marina Mabrey || Nyara Sabally || Temi Fagbenle,0.0,200.0,200.0,3.3333333333333335,0.0,3.3333333333333335,Q1 10:00,Q1 6:40,0.0,0.0,6.0,6.0,6.0,6.0,0.0,Substitution,True
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes || Julie Allemand || Maria Conde || Marina Mabrey || Temi Fagbenle,200.0,278.0,78.0,1.3,3.3333333333333335,4.633333333333334,Q1 6:40,Q1 5:22,6.0,6.0,6.0,13.0,0.0,7.0,-7.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Kia Nurse | Maria Conde | Teonni Key,Brittney Sykes || Julie Allemand || Kia Nurse || Maria Conde || Teonni Key,278.0,371.0,93.0,1.55,4.633333333333334,6.183333333333334,Q1 5:22,Q1 3:49,6.0,13.0,6.0,13.0,0.0,0.0,0.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Kiki Rice | Laura Juskaite | Marina Mabrey | Nyara Sabally,Brittney Sykes || Kiki Rice || Laura Juskaite || Marina Mabrey || Nyara Sabally,674.0,710.0,36.0,0.6,11.233333333333333,11.833333333333334,Q2 8:46,Q2 8:10,15.0,19.0,16.0,19.0,1.0,0.0,1.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Kiki Rice | Laura Juskaite | Marina Mabrey | Temi Fagbenle,Brittney Sykes || Kiki Rice || Laura Juskaite || Marina Mabrey || Temi Fagbenle,710.0,795.0,85.0,1.4166666666666667,11.833333333333334,13.25,Q2 8:10,Q2 6:45,16.0,19.0,19.0,23.0,3.0,4.0,-1.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Kiki Rice | Laura Juskaite | Marina Mabrey | Temi Fagbenle,Brittney Sykes || Kiki Rice || Laura Juskaite || Marina Mabrey || Temi Fagbenle,795.0,813.0,18.0,0.3,13.25,13.55,Q2 6:45,Q2 6:27,19.0,23.0,19.0,24.0,0.0,1.0,-1.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes || Julie Allemand || Maria Conde || Marina Mabrey || Temi Fagbenle,813.0,869.0,56.0,0.9333333333333333,13.55,14.483333333333333,Q2 6:27,Q2 5:31,19.0,24.0,23.0,26.0,4.0,2.0,2.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes || Julie Allemand || Maria Conde || Marina Mabrey || Temi Fagbenle,869.0,892.0,23.0,0.38333333333333336,14.483333333333333,14.866666666666667,Q2 5:31,Q2 5:08,23.0,26.0,23.0,26.0,0.0,0.0,0.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes || Julie Allemand || Maria Conde || Marina Mabrey || Temi Fagbenle,892.0,936.0,44.0,0.7333333333333333,14.866666666666667,15.6,Q2 5:08,Q2 4:24,23.0,26.0,26.0,26.0,3.0,0.0,3.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Kia Nurse | Maria Conde | Temi Fagbenle,Brittney Sykes || Julie Allemand || Kia Nurse || Maria Conde || Temi Fagbenle,936.0,971.0,35.0,0.5833333333333334,15.6,16.183333333333334,Q2 4:24,Q2 3:49,26.0,26.0,27.0,28.0,1.0,2.0,-1.0,Substitution,False
TOR,home,Brittney Sykes,Brittney Sykes | Julie Allemand | Kia Nurse | Nyara Sabally | Temi Fagbenle,Brittney Sykes || Julie Allemand || Kia Nurse || Nyara Sabally || Temi Fagbenle,971.0,1018.0,47.0,0.7833333333333333,16.183333333333334,16.966666666666665,Q2 3:49,Q2 3:02,27.0,28.0,28.0,28.0,1.0,0.0,1.0,Substitution,False
